ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
"02","1","16","136","2018","03","19","5","3","6","4","2","0","1","1","0","0","0","0",567089.42400000000,5927856.79430000018,10.01131649900,53.49538962700
"02","1","16","137","2018","02","19","7","3","4","2","2","0","1","0","0","0","0","0",566057.87190000003,5928304.14279999956,9.99586352900,53.49954062600
"02","1","16","137","2018","02","20","5","3","5","2","2","0","1","0","0","0","0","1",566059.87150000001,5928303.29619999975,9.99589349100,53.49953276600
"02","1","16","137","2018","02","13","5","3","5","3","0","0","1","0","0","0","0","1",565698.17200000002,5930202.21800000034,9.99083952200,53.51664427400
"02","1","16","137","2018","02","07","2","2","4","6","2","0","1","0","0","1","0","1",565422.06050000002,5930499.71789999958,9.98673809900,53.51935243300
"02","1","16","137","2018","03","05","3","3","5","2","1","1","1","0","0","0","0","1",565745.82209999999,5928427.88769999985,9.99118590000,53.50069185700
"02","1","16","137","2018","03","14","4","3","2","6","0","0","1","0","0","1","0","1",564074.97230000002,5929157.02550000045,9.96614910600,53.50745109400
"02","1","16","137","2018","03","15","7","2","6","7","0","0","1","1","0","0","0","0",565640.68319999997,5930079.23359999992,9.98994687100,53.51554615800
"02","1","16","136","2018","03","12","6","3","2","2","0","0","1","0","0","0","0","0",566933.29799999995,5927972.11199999973,10.00898803700,53.49644590700
"02","1","16","136","2018","04","03","1","3","9","1","2","0","1","0","0","0","0","1",566812.45250000001,5926182.16810000036,10.00678560700,53.48037450500
"02","1","16","137","2018","04","07","5","3","6","6","0","1","0","1","0","0","0","0",565720.12870000000,5928945.54860000033,9.99090710400,53.50534745300
"02","1","18","139","2018","04","13","6","2","1","6","0","0","1","0","0","1","0","1",564304.48010000004,5930251.47790000029,9.96983374500,53.51725932200
"02","1","16","137","2018","04","16","5","3","6","4","0","0","1","1","0","0","0","0",565401.65680000000,5929034.29559999984,9.98612458300,53.50618475400
"02","1","16","137","2018","04","06","3","3","5","3","0","0","1","0","0","0","0","1",566038.80689999997,5925899.79910000041,9.99507023000,53.47793438600
"02","1","18","139","2018","04","08","6","3","2","6","0","0","0","0","0","1","0","0",563402.83880000003,5930358.80209999997,9.95625909500,53.51833340900
"02","1","16","137","2018","04","05","2","3","3","6","2","0","1","0","0","0","1","0",565131.87699999998,5929534.27599999961,9.98216139200,53.51071172800
"02","1","16","137","2018","04","12","7","3","4","6","0","1","1","0","0","0","0","0",565299.77960000001,5930364.38939999975,9.98486587000,53.51815139900
"02","1","16","137","2018","05","20","1","2","5","3","0","0","1","0","0","0","0","0",565152.91780000005,5929530.43450000044,9.98247782900,53.51067459600
"02","1","16","137","2018","04","22","2","3","2","6","2","0","1","0","0","0","0","0",565767.44110000005,5928516.45930000022,9.99153035000,53.50148517600
"02","1","16","137","2018","04","18","2","3","4","2","0","0","1","0","1","0","0","0",565865.91819999996,5930117.14719999954,9.99335111800,53.51585872700
"02","1","16","137","2018","05","21","7","3","5","3","1","0","1","0","0","0","0","0",565478.61150000000,5930281.92630000040,9.98754537800,53.51738803200
"02","1","16","137","2018","05","18","3","2","6","4","0","0","1","1","0","0","0","0",565428.22230000002,5929455.61050000042,9.98661300800,53.50996794400
"02","1","17","138","2018","05","19","6","1","6","4","0","0","1","1","0","0","0","0",566790.30339999998,5930672.80080000032,10.00740826600,53.52073589700
"02","1","16","137","2018","05","22","2","2","8","1","2","0","0","0","1","0","0","0",566152.65410000004,5930558.21279999986,9.99776791500,53.51978670400
"02","1","16","137","2018","05","16","1","3","1","1","0","0","1","0","0","1","0","0",565723.36849999998,5927816.09169999976,9.99071925200,53.49519625100
"02","1","16","137","2018","05","20","3","3","2","6","0","0","1","0","0","0","0","0",565820.48990000004,5929341.85589999985,9.99250327700,53.50889663900
"02","1","16","137","2018","05","16","3","3","5","3","0","0","1","0","1","0","0","0",566576.55799999996,5928635.58999999985,10.00375209600,53.50245404500
"02","1","16","137","2018","05","15","3","3","2","6","0","0","1","0","0","0","0","0",566362.56440000003,5930595.74959999975,10.00094137500,53.52009759700
"02","1","18","139","2018","05","21","3","2","2","6","0","0","0","0","1","1","0","0",564347.76289999997,5930330.04690000042,9.97050256600,53.51796015300
"02","1","16","137","2018","05","10","5","3","1","6","0","0","1","0","0","0","0","0",565948.01159999997,5930521.61739999987,9.99467413800,53.51948352600
"02","1","16","137","2018","05","14","2","3","3","6","0","0","1","0","0","1","0","0",566195.34499999997,5926156.05669999961,9.99748256700,53.48021780000
"02","1","16","137","2018","05","17","4","3","5","2","0","1","1","0","0","0","0","0",565480.84580000001,5930270.97279999964,9.98757678100,53.51728931100
"02","1","16","137","2018","05","08","4","3","2","6","0","0","1","0","0","0","0","0",566065.93259999994,5928300.60319999978,9.99598428300,53.49950780200
"02","1","16","136","2018","05","18","3","3","5","3","0","1","1","0","0","0","0","0",567114.02249999996,5927799.20940000005,10.01167491800,53.49486895800
